content,score,thumbsUpCount,cleaned_content,sentiment_label,word_count,review_date
"lagu bukan hanya alunan nada tapi bisa jadi ungkapan kebebasan, perdamaian dan ketenangan 🍉",1,2,lagu bukan hanya alunan nada tapi bisa jadi ungkapan kebebasan perdamaian dan ketenangan,negative,13,
iklan Mulu gak jelass apa apa harus premium kocakk,1,0,iklan mulu tidak jelass apa apa harus premium kocakk,positive,9,
Terima kasih banyak 🙏👍👍👍,5,0,terima kasih banyak,negative,3,
"kok di aku mah gk bisa ada lirik ya sih tolong dong , tapi apk ya bagussss bgtttt 💓💓💓💓🎉🎉🎉🎉🎀🎀🎀🎀🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻‼️‼️‼️‼️‼️‼️",4,0,kok di aku mah gk bisa ada lirik ya sih tolong dong tapi apk ya bagussss bgtttt,positive,17,
sangat banyak lagu nya,5,0,sangat banyak lagu nya,negative,4,
"sngt bagusss sekali,apalagi kalo musik koleksinya bisa didengar secara offline terus,pasti tambah mantapp",5,0,sngt bagusss sekaliapalagi kalo musik koleksinya bisa didengar secara offline teruspasti tambah mantapp,negative,13,
very good i like it but why do i have to pay? i just want it free this is not what i expected i am disappointed.,3,0,very good i like it but why do i have to pay i just want it free this is not what i expected i am disappointed,positive,26,
baik,5,0,baik,negative,1,
"apk pemutar lagu paling bagus menurut ku,, tinggal klik di pencarian dan langsung putar,,bisa juga dipakai dilatar belakang JD bisa sambil buka apk yg lain,,ada iklan,tp masih wajar saja",5,1,apk pemutar lagu paling bagus menurut ku tinggal klik di pencarian dan langsung putarbisa juga dipakai dilatar belakang jd bisa sambil buka apk yang lainada iklantp masih wajar saja,negative,29,
Tnks spotify musik sudah memberi yang terbaik bagi para pendengar musik tanah air semoga kedepan nya makin bagus lagi.... Salam pendengar musik..,5,0,tnks spotify musik sudah memberi yang terbaik bagi para pendengar musik tanah air semoga kedepan nya semakin bagus lagi salam pendengar musik,negative,22,
sungguh bagus buat klian yg suka dengar musik di sportify,5,0,sungguh bagus buat klian yang suka dengar musik di sportify,negative,10,
bagus,5,0,bagus,negative,1,
sangat bagus,5,0,sangat bagus,negative,2,
iklan sia loba loba teuing atuh kehed,1,1,iklan sia loba loba teuing atuh kehed,positive,7,
sangat jelek ada iklan nya,1,1,sangat jelek ada iklan nya,positive,5,
ok,5,0,ok,positive,1,
rhtrhy jrjgorrht rumah,5,0,rhtrhy jrjgorrht rumah,positive,3,
gatau ini cuma aku yg pernah ngalamin ato yg lain pernah juga tapi ad kyk bug gitu yg bikin musiknya ganti ganti terus dan ga ada suaranya tapi overall semuanya udah bagus dan lagunya juga lengkap sekian dan mohon diperbaikan:v,4,0,gatau ini cuma aku yang pernah ngalamin ato yang lain pernah juga tapi ad kyk bug gitu yang bikin musiknya ganti ganti terus dan tidak ada suaranya tapi overall semuanya udah bagus dan lagunya juga lengkap sekian dan mohon diperbaikanv,negative,40,
keren,5,0,keren,negative,1,
kikir ih kebanyakan iklan,4,0,kikir ih kebanyakan iklan,positive,4,
good,5,0,good,negative,1,
top,5,0,top,negative,1,
bagus kak,5,0,bagus kak,negative,2,
mantap,4,0,mantap,negative,1,
1 nya harus premium mls,4,0,nya harus premium mls,negative,4,
lumayan,4,0,lumayan,negative,1,
perfect apk,5,0,perfect apk,negative,2,
"lu maunya apa dah gw dah cape cape nyari lagu trus pas satu lagu dah kelar malah nyepam rekomendasi,ok lah kalo 1x setiap 3 lagu lah ini lu spam terus lagu yang gw taro di playlist sampe gk keputar,semiskin itu kalian sampe maksa beli premium",1,0,lu maunya apa sudah gw sudah cape cape nyari lagu trus pas satu lagu sudah kelar malah nyepam rekomendasiok lah kalo x setiap lagu lah ini lu spam terus lagu yang gw taro di playlist sampe gk keputarsemiskin itu kalian sampe maksa beli premium,positive,44,
JUARA..,5,0,juara,negative,1,
"Gudang lagu yang sangat lengkap, dan mudah untuk dicari. Mantap.",5,0,gudang lagu yang sangat lengkap dan mudah untuk dicari mantap,negative,10,
iklan nya kurangin please,4,0,iklan nya kurangin please,positive,4,
BANYAK SAMPAH,1,0,banyak sampah,positive,2,
sangat bagus dan berguna untuk menghibur hari,5,0,sangat bagus dan berguna untuk menghibur hari,negative,7,
